Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
6-Feb-24,EQ,"3,900.00","3,950.75","3,890.00","3,889.95","3,946.00","3,944.60","3,924.27","4,200.00","2,836.00","4,70,713","1,84,72,02,742.20","45,743"
7-Feb-24,EQ,"3,975.00","3,990.00","3,907.95","3,944.60","3,929.00","3,927.65","3,934.31","4,200.00","2,836.00","4,16,774","1,63,97,19,888.25","40,392"
8-Feb-24,EQ,"3,953.00","3,957.30","3,791.75","3,927.65","3,811.00","3,807.30","3,838.61","4,200.00","2,836.00","4,04,899","1,55,42,47,655.50","82,388"
9-Feb-24,EQ,"3,820.00","3,847.95","3,761.60","3,807.30","3,844.95","3,840.95","3,813.00","4,200.00","2,836.00","3,96,729","1,51,27,29,486.70","55,615"
12-Feb-24,EQ,"3,869.90","3,903.05","3,817.20","3,840.95","3,873.95","3,871.85","3,867.38","4,200.00","2,836.00","2,37,343","91,78,96,016.75","33,346"
13-Feb-24,EQ,"3,894.65","3,936.15","3,765.45","3,871.85","3,898.75","3,854.20","3,860.98","4,200.00","2,836.00","6,33,019","2,44,40,70,956.95","81,400"
14-Feb-24,EQ,"3,833.00","3,932.35","3,726.60","3,854.20","3,896.75","3,901.55","3,864.10","4,200.00","2,836.00","9,19,714","3,55,38,70,827.00","1,05,130"
15-Feb-24,EQ,"3,905.00","3,928.50","3,876.20","3,901.55","3,911.00","3,916.55","3,909.51","4,200.00","2,836.00","4,05,632","1,58,58,21,582.60","62,372"
16-Feb-24,EQ,"3,925.05","4,003.00","3,916.30","3,916.55","3,938.00","3,928.65","3,960.47","4,200.00","2,836.00","6,34,008","2,51,09,66,521.00","72,730"
19-Feb-24,EQ,"3,934.95","3,954.70","3,894.75","3,928.65","3,905.00","3,902.85","3,927.03","4,200.00","2,836.00","2,67,834","1,05,17,90,977.05","40,381"
20-Feb-24,EQ,"3,894.00","3,898.90","3,784.20","3,902.85","3,830.05","3,828.10","3,831.06","4,200.00","2,836.00","13,24,518","5,07,43,02,757.60","74,451"
21-Feb-24,EQ,"3,828.10","3,895.75","3,821.00","3,828.10","3,830.00","3,836.35","3,866.19","4,200.00","2,836.00","5,75,380","2,22,45,28,037.15","60,395"
22-Feb-24,EQ,"3,864.80","3,970.00","3,841.85","3,836.35","3,953.00","3,951.40","3,913.70","4,200.00","2,836.00","11,30,600","4,42,48,25,633.80","1,15,282"
23-Feb-24,EQ,"3,970.40","3,972.00","3,913.65","3,951.40","3,924.20","3,927.05","3,937.26","4,200.00","2,836.00","5,71,998","2,25,21,03,188.40","62,975"
26-Feb-24,EQ,"3,927.05","3,991.45","3,895.00","3,927.05","3,955.00","3,952.95","3,947.73","4,200.00","2,836.00","4,74,465","1,87,30,61,554.45","49,579"
27-Feb-24,EQ,"3,950.00","4,012.55","3,940.00","3,952.95","4,002.00","4,002.75","3,991.14","4,200.00","2,836.00","5,79,400","2,31,24,64,110.05","66,284"
28-Feb-24,EQ,"4,002.75","4,018.95","3,851.00","4,002.75","3,860.00","3,863.75","3,922.97","4,200.00","2,836.00","6,58,953","2,58,50,54,081.95","89,592"
29-Feb-24,EQ,"3,862.95","3,890.00","3,760.05","3,863.75","3,800.00","3,792.40","3,802.14","4,200.00","2,836.00","10,21,336","3,88,32,66,036.90","1,26,551"
1-Mar-24,EQ,"3,790.20","3,868.80","3,776.05","3,792.40","3,840.00","3,843.55","3,834.42","4,200.00","2,836.00","6,65,946","2,55,35,19,427.85","68,074"
2-Mar-24,EQ,"3,855.00","3,877.85","3,837.05","3,843.55","3,858.00","3,860.35","3,860.31","4,200.00","2,836.00","17,701","6,83,31,321.75","2,420"
4-Mar-24,EQ,"3,858.60","3,883.30","3,744.00","3,860.35","3,756.90","3,751.45","3,776.30","4,200.00","2,836.00","6,41,251","2,42,15,58,538.10","90,577"
5-Mar-24,EQ,"3,751.45","3,801.95","3,742.55","3,751.45","3,792.00","3,791.90","3,774.55","4,200.00","2,836.00","5,91,293","2,23,18,66,673.10","72,181"
6-Mar-24,EQ,"3,800.00","3,806.85","3,734.05","3,791.90","3,800.00","3,793.20","3,778.30","4,200.00","2,836.00","3,15,398","1,19,16,69,749.90","41,112"
7-Mar-24,EQ,"3,793.20","3,810.00","3,759.05","3,793.20","3,778.15","3,785.25","3,785.72","4,200.00","2,836.00","7,34,239","2,77,96,24,562.55","60,665"
11-Mar-24,EQ,"3,795.45","3,814.95","3,770.00","3,785.25","3,775.05","3,783.90","3,791.28","4,200.00","2,836.00","3,73,335","1,41,54,16,573.05","47,290"
12-Mar-24,EQ,"3,804.40","3,855.80","3,771.00","3,783.90","3,811.50","3,810.75","3,823.15","4,200.00","2,836.00","5,28,035","2,01,87,56,707.25","58,658"
13-Mar-24,EQ,"3,811.55","3,852.40","3,715.00","3,810.75","3,726.00","3,735.55","3,778.52","4,200.00","2,836.00","4,28,324","1,61,84,29,324.45","58,922"
